Employee_ID,timestamp,app_name,window_title,category,Department
EMP001,2026-02-14 09:42:00,Google Chrome,WhatsApp Web,Distraction,Frontend
EMP001,2026-02-14 09:56:00,Visual Studio Code,App.py - Backend,Productive,Frontend
EMP001,2026-02-14 10:05:00,Discord,Gaming Community,Neutral,Frontend
EMP001,2026-02-14 10:13:00,Postman,POST /api/login,Productive,Frontend
EMP001,2026-02-14 10:24:00,Visual Studio Code,App.py - Backend,Productive,Frontend
EMP001,2026-02-14 10:37:00,Spotify,Chill Hits,Neutral,Frontend
EMP001,2026-02-14 10:48:00,Terminal,python main.py,Productive,Frontend
EMP001,2026-02-14 10:55:00,Visual Studio Code,script.js - Project,Productive,Frontend
EMP001,2026-02-14 11:04:00,Gmail,Meeting Invite,Productive,Frontend
EMP001,2026-02-14 11:16:00,Postman,GET /api/employees,Productive,Frontend
EMP001,2026-02-14 11:25:00,Google Chrome,YouTube - Lofi Mix,Distraction,Frontend
EMP001,2026-02-14 11:36:00,Discord,Gaming Community,Neutral,Frontend
EMP001,2026-02-14 11:51:00,Google Chrome,YouTube - Tutorial Python,Productive (Contextual),Frontend
EMP001,2026-02-14 12:01:00,Spotify,Chill Hits,Neutral,Frontend
EMP001,2026-02-14 12:15:00,Visual Studio Code,script.js - Project,Productive,Frontend
EMP001,2026-02-14 12:24:00,Terminal,python main.py,Productive,Frontend
EMP001,2026-02-14 12:36:00,Postman,POST /api/login,Productive,Frontend
EMP001,2026-02-14 12:42:00,Visual Studio Code,script.js - Project,Productive,Frontend
EMP002,2026-02-14 09:38:00,Gmail,Meeting Invite,Productive,QA
EMP002,2026-02-14 09:47:00,Terminal,python main.py,Productive,QA
EMP002,2026-02-14 09:59:00,Visual Studio Code,index.html - FlowAI,Productive,QA
EMP002,2026-02-14 10:13:00,Discord,Programming Server,Neutral,QA
EMP002,2026-02-14 10:20:00,Terminal,python main.py,Productive,QA
EMP002,2026-02-14 10:26:00,Spotify,Daily Mix,Neutral,QA
EMP002,2026-02-14 10:38:00,Terminal,python main.py,Productive,QA
EMP002,2026-02-14 10:49:00,Microsoft Teams,Chat with Manager,Productive,QA
EMP002,2026-02-14 11:03:00,Postman,GET /api/employees,Productive,QA
EMP002,2026-02-14 11:09:00,Visual Studio Code,App.py - Backend,Productive,QA
EMP002,2026-02-14 11:16:00,Discord,Gaming Community,Neutral,QA
EMP002,2026-02-14 11:28:00,Postman,GET /api/employees,Productive,QA
EMP002,2026-02-14 11:37:00,Google Chrome,YouTube - Tutorial Python,Productive (Contextual),QA
EMP002,2026-02-14 11:42:00,Postman,GET /api/employees,Productive,QA
EMP002,2026-02-14 11:56:00,Spotify,Daily Mix,Neutral,QA
EMP002,2026-02-14 12:09:00,Spotify,Chill Hits,Neutral,QA
EMP002,2026-02-14 12:14:00,Postman,POST /api/login,Productive,QA
EMP002,2026-02-14 12:25:00,Gmail,Meeting Invite,Productive,QA
EMP002,2026-02-14 12:38:00,Visual Studio Code,App.py - Backend,Productive,QA
EMP002,2026-02-14 12:45:00,Google Chrome,Google Search - Research,Neutral,QA
EMP002,2026-02-14 12:55:00,Postman,POST /api/login,Productive,QA
EMP002,2026-02-14 13:04:00,Discord,Gaming Community,Neutral,QA
EMP003,2026-02-14 09:41:00,Spotify,Daily Mix,Neutral,QA
EMP003,2026-02-14 09:49:00,Postman,GET /api/employees,Productive,QA
EMP003,2026-02-14 10:00:00,Spotify,Daily Mix,Neutral,QA
EMP003,2026-02-14 10:14:00,Visual Studio Code,App.py - Backend,Productive,QA
EMP003,2026-02-14 10:28:00,Google Chrome,WhatsApp Web,Distraction,QA
EMP003,2026-02-14 10:36:00,Spotify,Chill Hits,Neutral,QA
EMP003,2026-02-14 10:51:00,Google Chrome,WhatsApp Web,Distraction,QA
EMP003,2026-02-14 11:06:00,Visual Studio Code,script.js - Project,Productive,QA
EMP003,2026-02-14 11:15:00,Discord,Gaming Community,Neutral,QA
EMP003,2026-02-14 11:27:00,Postman,POST /api/login,Productive,QA
EMP003,2026-02-14 11:39:00,Google Chrome,Google Search - Research,Neutral,QA
EMP003,2026-02-14 11:51:00,Postman,POST /api/login,Productive,QA
EMP003,2026-02-14 12:04:00,Terminal,node server.js,Productive,QA
EMP003,2026-02-14 12:13:00,Visual Studio Code,script.js - Project,Productive,QA
EMP003,2026-02-14 12:25:00,Discord,Gaming Community,Neutral,QA
EMP003,2026-02-14 12:34:00,Spotify,Daily Mix,Neutral,QA
EMP003,2026-02-14 12:40:00,Discord,Programming Server,Neutral,QA
EMP003,2026-02-14 12:45:00,Visual Studio Code,script.js - Project,Productive,QA
EMP003,2026-02-14 12:54:00,Postman,POST /api/login,Productive,QA
EMP003,2026-02-14 13:06:00,Postman,POST /api/login,Productive,QA
EMP003,2026-02-14 13:21:00,Postman,POST /api/login,Productive,QA
EMP003,2026-02-14 13:30:00,Microsoft Teams,Meeting with Team,Productive,QA
EMP004,2026-02-14 09:03:00,Discord,Gaming Community,Neutral,Product
EMP004,2026-02-14 09:14:00,Microsoft Teams,Chat with Manager,Productive,Product
EMP004,2026-02-14 09:25:00,Google Chrome,Stack Overflow - How to fix bug,Neutral,Product
EMP004,2026-02-14 09:38:00,Gmail,Inbox - Work Email,Productive,Product
EMP004,2026-02-14 09:45:00,Terminal,git push origin main,Productive,Product
EMP004,2026-02-14 10:00:00,Gmail,Inbox - Work Email,Productive,Product
EMP004,2026-02-14 10:05:00,Gmail,Meeting Invite,Productive,Product
EMP004,2026-02-14 10:10:00,Discord,Gaming Community,Neutral,Product
EMP004,2026-02-14 10:23:00,Spotify,Daily Mix,Neutral,Product
EMP004,2026-02-14 10:31:00,Visual Studio Code,index.html - FlowAI,Productive,Product
EMP004,2026-02-14 10:36:00,Spotify,Daily Mix,Neutral,Product
EMP004,2026-02-14 10:43:00,Google Chrome,YouTube - Tutorial Python,Productive (Contextual),Product
EMP004,2026-02-14 10:53:00,Microsoft Teams,Meeting with Team,Productive,Product
EMP004,2026-02-14 11:00:00,Microsoft Teams,Chat with Manager,Productive,Product
EMP004,2026-02-14 11:06:00,Discord,Programming Server,Neutral,Product
EMP004,2026-02-14 11:17:00,Terminal,node server.js,Productive,Product
EMP004,2026-02-14 11:29:00,Visual Studio Code,index.html - FlowAI,Productive,Product
EMP005,2026-02-14 09:43:00,Visual Studio Code,script.js - Project,Productive,Frontend
EMP005,2026-02-14 09:50:00,Gmail,Inbox - Work Email,Productive,Frontend
EMP005,2026-02-14 10:03:00,Gmail,Meeting Invite,Productive,Frontend
EMP005,2026-02-14 10:10:00,Spotify,Chill Hits,Neutral,Frontend
EMP005,2026-02-14 10:25:00,Visual Studio Code,App.py - Backend,Productive,Frontend
EMP005,2026-02-14 10:32:00,Visual Studio Code,script.js - Project,Productive,Frontend
EMP005,2026-02-14 10:44:00,Gmail,Inbox - Work Email,Productive,Frontend
EMP005,2026-02-14 10:50:00,Gmail,Meeting Invite,Productive,Frontend
EMP005,2026-02-14 10:59:00,Visual Studio Code,App.py - Backend,Productive,Frontend
EMP005,2026-02-14 11:07:00,Postman,POST /api/login,Productive,Frontend
EMP005,2026-02-14 11:15:00,Discord,Gaming Community,Neutral,Frontend
EMP005,2026-02-14 11:20:00,Google Chrome,Stack Overflow - How to fix bug,Neutral,Frontend
EMP005,2026-02-14 11:25:00,Google Chrome,GitHub - PR #12,Neutral,Frontend
EMP005,2026-02-14 11:36:00,Spotify,Chill Hits,Neutral,Frontend
EMP005,2026-02-14 11:47:00,Postman,POST /api/login,Productive,Frontend
EMP005,2026-02-14 11:53:00,Microsoft Teams,Meeting with Team,Productive,Frontend
EMP006,2026-02-14 09:34:00,Spotify,Daily Mix,Neutral,DevOps
EMP006,2026-02-14 09:41:00,Microsoft Teams,Chat with Manager,Productive,DevOps
EMP006,2026-02-14 09:47:00,Google Chrome,WhatsApp Web,Distraction,DevOps
EMP006,2026-02-14 09:58:00,Google Chrome,YouTube - Lofi Mix,Distraction,DevOps
EMP006,2026-02-14 10:05:00,Gmail,Inbox - Work Email,Productive,DevOps
EMP006,2026-02-14 10:17:00,Terminal,python main.py,Productive,DevOps
EMP006,2026-02-14 10:25:00,Spotify,Chill Hits,Neutral,DevOps
EMP006,2026-02-14 10:38:00,Spotify,Chill Hits,Neutral,DevOps
EMP006,2026-02-14 10:44:00,Discord,Programming Server,Neutral,DevOps
EMP006,2026-02-14 10:49:00,Gmail,Inbox - Work Email,Productive,DevOps
EMP006,2026-02-14 11:03:00,Postman,POST /api/login,Productive,DevOps
EMP006,2026-02-14 11:17:00,Postman,POST /api/login,Productive,DevOps
EMP006,2026-02-14 11:32:00,Discord,Programming Server,Neutral,DevOps
EMP006,2026-02-14 11:43:00,Postman,GET /api/employees,Productive,DevOps
EMP006,2026-02-14 11:53:00,Google Chrome,GitHub - PR #12,Neutral,DevOps
EMP006,2026-02-14 12:03:00,Spotify,Chill Hits,Neutral,DevOps
EMP006,2026-02-14 12:13:00,Microsoft Teams,Chat with Manager,Productive,DevOps
EMP006,2026-02-14 12:19:00,Discord,Programming Server,Neutral,DevOps
EMP007,2026-02-14 09:01:00,Terminal,python main.py,Productive,Product
EMP007,2026-02-14 09:09:00,Spotify,Chill Hits,Neutral,Product
EMP007,2026-02-14 09:21:00,Spotify,Chill Hits,Neutral,Product
EMP007,2026-02-14 09:30:00,Gmail,Inbox - Work Email,Productive,Product
EMP007,2026-02-14 09:45:00,Discord,Gaming Community,Neutral,Product
EMP007,2026-02-14 09:58:00,Google Chrome,WhatsApp Web,Distraction,Product
EMP007,2026-02-14 10:12:00,Microsoft Teams,Chat with Manager,Productive,Product
EMP007,2026-02-14 10:26:00,Gmail,Meeting Invite,Productive,Product
EMP007,2026-02-14 10:36:00,Postman,POST /api/login,Productive,Product
EMP007,2026-02-14 10:47:00,Gmail,Inbox - Work Email,Productive,Product
EMP007,2026-02-14 10:53:00,Spotify,Chill Hits,Neutral,Product
EMP007,2026-02-14 11:02:00,Spotify,Chill Hits,Neutral,Product
EMP007,2026-02-14 11:16:00,Google Chrome,Google Search - Research,Neutral,Product
EMP007,2026-02-14 11:27:00,Google Chrome,Stack Overflow - How to fix bug,Neutral,Product
EMP007,2026-02-14 11:42:00,Postman,POST /api/login,Productive,Product
EMP007,2026-02-14 11:52:00,Discord,Programming Server,Neutral,Product
EMP007,2026-02-14 11:58:00,Spotify,Chill Hits,Neutral,Product
EMP007,2026-02-14 12:07:00,Gmail,Meeting Invite,Productive,Product
EMP007,2026-02-14 12:22:00,Gmail,Meeting Invite,Productive,Product
EMP007,2026-02-14 12:28:00,Gmail,Inbox - Work Email,Productive,Product
EMP007,2026-02-14 12:40:00,Terminal,git push origin main,Productive,Product
EMP007,2026-02-14 12:53:00,Gmail,Inbox - Work Email,Productive,Product
EMP007,2026-02-14 13:04:00,Terminal,python main.py,Productive,Product
EMP007,2026-02-14 13:12:00,Visual Studio Code,script.js - Project,Productive,Product
EMP007,2026-02-14 13:22:00,Postman,GET /api/employees,Productive,Product
EMP008,2026-02-14 09:30:00,Discord,Programming Server,Neutral,Data Science
EMP008,2026-02-14 09:44:00,Terminal,node server.js,Productive,Data Science
EMP008,2026-02-14 09:52:00,Terminal,node server.js,Productive,Data Science
EMP008,2026-02-14 10:06:00,Terminal,node server.js,Productive,Data Science
EMP008,2026-02-14 10:12:00,Visual Studio Code,script.js - Project,Productive,Data Science
EMP008,2026-02-14 10:25:00,Discord,Programming Server,Neutral,Data Science
EMP008,2026-02-14 10:37:00,Terminal,git push origin main,Productive,Data Science
EMP008,2026-02-14 10:52:00,Postman,POST /api/login,Productive,Data Science
EMP008,2026-02-14 10:57:00,Visual Studio Code,script.js - Project,Productive,Data Science
EMP008,2026-02-14 11:12:00,Microsoft Teams,Meeting with Team,Productive,Data Science
EMP008,2026-02-14 11:21:00,Spotify,Chill Hits,Neutral,Data Science
EMP008,2026-02-14 11:26:00,Gmail,Meeting Invite,Productive,Data Science
EMP008,2026-02-14 11:35:00,Discord,Programming Server,Neutral,Data Science
EMP008,2026-02-14 11:49:00,Visual Studio Code,script.js - Project,Productive,Data Science
EMP008,2026-02-14 11:56:00,Terminal,python main.py,Productive,Data Science
EMP008,2026-02-14 12:10:00,Google Chrome,Stack Overflow - How to fix bug,Neutral,Data Science
EMP008,2026-02-14 12:19:00,Discord,Gaming Community,Neutral,Data Science
EMP008,2026-02-14 12:25:00,Gmail,Inbox - Work Email,Productive,Data Science
EMP008,2026-02-14 12:40:00,Postman,GET /api/employees,Productive,Data Science
EMP008,2026-02-14 12:51:00,Postman,POST /api/login,Productive,Data Science
EMP008,2026-02-14 13:00:00,Postman,POST /api/login,Productive,Data Science
EMP008,2026-02-14 13:10:00,Terminal,git push origin main,Productive,Data Science
EMP009,2026-02-14 09:33:00,Discord,Gaming Community,Neutral,Product
EMP009,2026-02-14 09:40:00,Postman,POST /api/login,Productive,Product
EMP009,2026-02-14 09:54:00,Gmail,Inbox - Work Email,Productive,Product
EMP009,2026-02-14 10:05:00,Terminal,node server.js,Productive,Product
EMP009,2026-02-14 10:19:00,Microsoft Teams,Chat with Manager,Productive,Product
EMP009,2026-02-14 10:33:00,Gmail,Meeting Invite,Productive,Product
EMP009,2026-02-14 10:46:00,Terminal,node server.js,Productive,Product
EMP009,2026-02-14 10:55:00,Visual Studio Code,App.py - Backend,Productive,Product
EMP009,2026-02-14 11:08:00,Gmail,Inbox - Work Email,Productive,Product
EMP009,2026-02-14 11:18:00,Postman,POST /api/login,Productive,Product
EMP009,2026-02-14 11:24:00,Spotify,Chill Hits,Neutral,Product
EMP009,2026-02-14 11:35:00,Visual Studio Code,script.js - Project,Productive,Product
EMP009,2026-02-14 11:49:00,Discord,Programming Server,Neutral,Product
EMP009,2026-02-14 11:57:00,Terminal,node server.js,Productive,Product
EMP009,2026-02-14 12:04:00,Spotify,Daily Mix,Neutral,Product
EMP009,2026-02-14 12:16:00,Postman,GET /api/employees,Productive,Product
